id,status,receptor_1,receptor_10,receptor_2,receptor_3,receptor_4,receptor_5,receptor_6,receptor_7,receptor_8,receptor_9,xtal
CHEMBL103,1,-10.0352111712,-10.0118715633,-9.974091617,-9.7114381961,-10.5810798191,-11.5804548585,-10.5263069105,-10.2590493,-9.8148533462,-10.6948590612,-9.3921813112
ZINC43641719,0,-10.0329662026,-9.8507490204,-9.2862724757,10000,-8.715158697,10000,-7.2627317132,10000,-8.4872624611,-9.7099797695,10000
ZINC19348085,0,-10.0220166124,-8.212844298,-8.6048791753,-7.7873163125,-8.5754663946,-9.1089572923,-7.1287357709,-8.5209499454,-9.399825833,-7.8448557478,-7.0299936595
ZINC20679783,0,-9.9837029621,-8.9866923992,-9.9260491757,-8.8192350939,-8.3696944012,-8.873652648,-8.0235953778,-7.5861380556,-7.7258059043,-9.7635774428,-8.4466091276
ZINC21353424,0,-9.9817336965,-9.1396882272,-8.1080107181,-7.228929353,10000,10000,10000,-7.2872166052,10000,-8.002250135,10000
ZINC44800773,0,-9.9600418937,-8.8178458594,-8.8175496436,-9.6717316055,-10.8421418896,-10.0277693266,-8.1661979748,-9.2450189655,-9.2141497349,-8.8770889272,-8.6813421274
ZINC32511591,0,-9.9541049389,-9.9531832132,-10.1354260726,-8.0148927885,-8.005426144,-8.0263617586,-8.6297783562,-8.0847404489,-9.9050637102,-9.518339672,-7.4011753753
ZINC12324954,0,-9.947250478,-9.1769157836,-9.2826806282,-9.1460385743,-9.0435713185,10000,-8.8142612958,10000,-9.7885065621,-9.1981664298,10000
ZINC63234650,0,-9.9251917473,-9.1567455746,-9.1249400884,10000,10000,10000,10000,10000,-8.5695841339,-8.5005210867,10000
CHEMBL397343,1,-9.9160940855,-10.2668637994,-9.7486542053,-11.3191676214,-10.4252386525,-11.1369174668,-8.4196743558,-10.7439115491,-10.320628811,-11.326880581,-10.6899403479
CHEMBL307910,1,-9.9155062379,-9.8633269595,-10.2980533881,-10.2902771111,-10.5379341729,-9.543678503,-10.3653265371,-9.1199896316,-10.3684779397,-9.1388915836,-9.2894839775
CHEMBL484727,1,-9.8959168779,-10.270944557,-10.1793930872,-10.4188540566,-9.1576553454,-9.5783186694,-9.6468479215,-9.8649359236,-10.5305135906,-10.2034691537,-7.4113326902
ZINC39159807,0,-9.8844712593,-8.1758112712,-8.4439582689,10000,-6.2006831931,10000,10000,10000,10000,-9.5740226503,10000
CHEMBL255216,1,-9.8729715667,-9.1741496112,-10.0172617507,-9.5077942998,-9.6005758638,-9.8690387674,-9.7045232815,-9.4310639691,-9.9495449235,-9.7445661119,-9.6660750917
ZINC07947501,0,-9.8681326919,-9.8066466084,-9.3481929876,-7.995295559,-8.6402437112,10000,-7.4251407329,10000,-9.2672840455,-8.024086547,10000
ZINC58409755,0,-9.8622573179,-9.5283736185,-7.8087640619,10000,-8.4890424558,-7.484993443,-7.8821212265,-7.3639059768,-8.0429566796,-8.2541624729,10000
ZINC36137997,0,-9.8622457413,-10.0266693067,-9.3372762734,-9.002121582,-10.2065536753,-9.2130500725,-8.6383881648,-8.8431853009,-9.2285184919,-9.5468156194,-9.1624545806
CHEMBL247637,1,-9.8578535685,-8.8478603093,-9.4104072422,-8.1792751439,-9.6021172987,-9.2070112713,-7.1744118568,-9.0290574756,-8.2864085075,-9.2496668608,10000
ZINC36952050,0,-9.846977533,-8.2956840704,-10.2735026864,-10.5362087954,-10.3961427657,-10.2213104599,-9.1447788031,-8.2792223503,-8.5058098457,-10.0441060814,-8.454830497
ZINC66663133,0,-9.8415082245,-8.9950617817,-9.7776125947,-5.9953680381,-8.6767081007,-8.8362361302,-7.6945714562,-7.9451690136,-9.4082807863,-9.6292724019,-7.5276508889
ZINC03348068,0,-9.8236416905,-9.9535162502,-8.0671937816,-8.3739650262,-9.0478200114,-7.3943776858,-8.6858573645,-8.2908880672,-8.7713060136,-8.5821620384,-7.3841635158
ZINC02692967,0,-9.8218761574,-9.4194448973,-9.2048523094,-9.50787954,-8.535749846,-9.6939666757,-8.7683243515,-9.0567883209,-8.2123686148,-9.2972478251,-7.9133999488
ZINC33289981,0,-9.8076055952,-9.3719067376,-8.5381121108,10000,10000,10000,-7.8743305091,10000,10000,-8.4501773273,10000
CHEMBL207706,1,-9.8050634765,-9.4334336693,-9.9024056589,-11.0338424072,-10.0434022343,-10.3783377096,-9.7192456549,-10.3913436477,-10.36710105,-10.0330874069,-9.9992452977
ZINC00114823,0,-9.8009517015,-9.2014728757,-8.7644160151,-8.1598944625,-9.3839875645,-10.2434821616,-8.6909375228,-9.559552139,-9.9169962198,-9.9474409868,-8.9305651749
ZINC41647538,0,-9.7849636332,-7.5098042811,-8.0215921118,-8.9780157424,-7.7392654168,-8.1728494348,-8.7322873154,10000,10000,-9.0602045708,10000
ZINC44085474,0,-9.7844465885,-8.4653177327,-9.7609659133,-9.0417420803,-9.2651133762,-9.3408386923,-8.5923238988,-9.0923485882,-9.0567656662,-9.1066660329,-7.3013929423
ZINC12794885,0,-9.7832986605,-9.0392699943,-8.9588875536,-10.0863867768,-9.4885570246,-9.6789573971,-9.4588612183,-8.3755870608,-9.626023705,-10.0369090772,-9.4287381559
ZINC44800850,0,-9.7813276225,-9.1330984657,-8.609166407,-8.7799271229,-9.7667360109,-8.1005215877,-8.2668765485,-8.3441985584,-9.0995206694,-8.3374618613,-5.905765578
ZINC61663830,0,-9.7745283993,-8.4319479382,-9.510402198,-8.9853839072,-8.8595572838,-9.3967746089,-8.5629364735,-8.9296872779,-9.6946864221,-8.8999570119,-8.5362112194
ZINC36770171,0,-9.7694722429,-8.2050691112,-8.2265976406,-8.3734845325,-9.0998104764,-8.5596281638,-8.028968778,-8.4000895379,-9.0084357766,-8.3579747411,-8.1506402584
CHEMBL188129,1,-9.7665375968,-7.3934255007,-8.3740713956,10000,10000,10000,10000,10000,-8.8094917048,-8.3099114657,10000
ZINC01174658,0,-9.7640163994,-8.9474022248,-9.3006035497,-6.8683049505,10000,10000,10000,10000,-8.4915319131,-6.8739035304,10000
ZINC14138537,0,-9.7578372982,-8.684277642,-9.4574280014,-7.9507906846,-9.9131417133,-8.7846963081,-7.9232509418,-8.2199383252,-9.1666762422,-9.7020855884,-7.6723291489
ZINC14175387,0,-9.7482007333,-9.2968312169,-9.3304488041,10000,10000,10000,-8.186177048,10000,10000,-10.1568920404,10000
ZINC01283418,0,-9.7391443054,-9.2121922458,-10.7944692284,10000,-10.0073889938,10000,10000,10000,-7.3567615534,-9.3594193882,10000
ZINC17326544,0,-9.73907059,-9.4492609279,-8.8609238555,-7.5732158011,-9.0455388542,-6.1985299327,-8.8033108172,-7.4579601417,-8.2454585885,-8.0566880173,10000
ZINC39907685,0,-9.735316211,-9.4114335658,-9.4182356316,-8.048054068,-9.4323009015,-8.909462184,-9.055315658,-8.6292512274,-9.4862879203,-8.9334334651,-7.7567546403
ZINC10998857,0,-9.7344331769,-8.2155556395,-9.2409168568,-9.7312301425,-9.3345359661,-8.7267955766,-8.6746734032,-8.404999478,-9.4231109234,-8.4935099298,-8.4472583525
ZINC02426594,0,-9.729807136,-8.9444991097,-8.6461629139,-8.8973646766,-7.990835978,10000,-7.065082786,10000,-7.5530893825,-9.3461048913,-6.3142546674
ZINC09407197,0,-9.7269251659,-9.9380168935,-8.1476255086,10000,-7.6884211022,-9.4156077754,10000,10000,-9.3091913936,-9.4372100953,10000
ZINC38984627,0,-9.7231107529,-9.4314903086,-9.1427263924,-8.4927143013,-8.0094786886,-8.0313417867,-8.7868224049,-8.0795521944,-9.6437490626,-8.9323235038,-6.6389700068
CHEMBL402807,1,-9.7229900128,-9.400564031,-9.8193443826,-10.1669914226,-10.1391956993,-10.5153916921,-9.9317449582,-9.4367972472,-9.7488341169,-9.5622747813,-9.6641046874
ZINC36858569,0,-9.7214569739,-9.2336208106,-7.0047859181,-6.0698255288,-8.0146738115,-8.0752198895,-8.8738753798,10000,-7.9973029753,-8.8428087477,10000
ZINC03911553,0,-9.7096501942,-8.8574393317,-8.7781846504,-7.4846868068,-8.1362788583,-8.5110836823,-7.5945354544,-7.400874384,-8.484882968,-8.4854191243,-6.7446356846
CHEMBL376847,1,-9.7017789614,-8.9683241416,-9.1199804375,-8.5486786657,-9.457170571,-9.1971865915,-8.3103290556,-8.931937677,-8.4712434755,-8.7710081074,-7.8904963373
ZINC14771542,0,-9.6895061807,-9.4942647053,-8.3325965458,-9.0244167277,-9.0238185652,-8.9097387489,-9.0671078855,10000,-7.341279676,-10.8636116789,-6.9243878014
ZINC05153543,0,-9.6813833891,-9.3653754746,-9.8776309495,-8.2684290427,-9.4277570628,-9.4790212277,-9.0078779993,-8.7698738382,-9.5017597932,-9.8798640826,-8.0380841528
ZINC46485325,0,-9.6768000714,-7.8404600734,-7.2649766994,-7.0661865453,-7.4562895142,-8.1368071633,-7.2535031936,-6.577064776,-7.387615589,-8.0614831084,-7.0505097938
ZINC00984781,0,-9.6727946837,-8.465832777,-7.9148693377,-8.4556379441,-9.605833165,-7.2842569741,-7.8420117794,10000,-9.6989883266,-8.5149603414,-8.0679765392
ZINC15775451,0,-9.6697522371,-9.7312307408,-10.2037936031,10000,10000,10000,10000,10000,-7.7407281886,-9.6090255454,10000
ZINC20679710,0,-9.66714652,-8.9453198363,-8.3618540356,-7.9341003641,-8.5972125287,-8.2350750349,-8.7390345133,-7.7014808445,-8.6256578224,-8.4589193094,-7.7511957875
ZINC15227124,0,-9.6581411664,-9.4123364143,-7.7140277284,10000,-7.9315768345,10000,-8.9693954978,10000,-8.5657498627,-9.2447866861,10000
ZINC35366091,0,-9.654054993,-8.7317841999,-9.2382973139,-8.5963510753,-8.1275769203,-8.3728204669,-7.4971237909,-7.6376248681,-6.7264991324,-9.2679587758,10000
CHEMBL482549,1,-9.6513399621,-9.4447753229,-10.4517059138,-10.7564956966,-9.8814387111,-10.3497349902,-9.7344886456,-10.1351107302,-9.9479437723,-10.070599805,-9.6620833072
CHEMBL471876,1,-9.6464742971,-9.793498026,-9.5381338804,-8.6342994811,-8.870943866,-8.1810674142,-8.7121252232,-8.2032162966,-9.9323246131,-9.5865379232,-8.483084205
CHEMBL467888,1,-9.646431508,-10.8115197677,-9.881102655,-8.5731008058,-10.4426411676,-9.0933262766,-9.2924685071,-7.9819960162,-8.8266258488,-10.9384914648,-8.7916506893
ZINC55599657,0,-9.6443615016,-9.5227902808,-9.6705847669,-9.0914516066,-9.575729316,-9.7528769853,-8.6680955185,-8.1224349073,-8.4486889588,-9.2313292354,-8.431413339
ZINC12395899,0,-9.6371897418,-7.4909881263,-8.4532428763,-8.1256700282,-8.5936430134,-9.8759971055,-7.703500894,-8.4334088743,-8.2542443904,-7.6239295757,-7.6595457382
ZINC06724516,0,-9.6368027757,-9.3967846198,-8.9765579158,-8.887620294,-9.4271645597,-8.9741244512,-8.7577074912,-8.7888466872,-8.9466610725,-8.8624429262,-8.3564598182
CHEMBL446626,1,-9.6365671419,-9.2121252141,-10.0727999648,-9.4451605398,-9.3790095301,-9.402896806,-9.2507161198,-9.2274890432,-9.666353331,-9.66352406,-8.4250932435
ZINC00381898,0,-9.6346553691,-8.7814649339,-9.6650944211,10000,-8.6692826793,-7.5056637544,-8.3076676454,-7.4370951422,-9.0195648109,-9.3808984078,-6.2839845911
ZINC02393791,0,-9.6335234345,-9.7421834256,-8.6773904361,-9.3597830735,-8.3808238794,-9.2669436596,-9.08811269,-8.078174875,-9.1395823182,-8.4224257684,-7.4912063146
ZINC08381285,0,-9.631364762,-9.5650877926,-8.3184579444,-7.2855678601,-7.8352579395,10000,-7.7785079876,-6.0867013354,-9.0813382769,-8.5876100882,-5.7809860913
ZINC65227134,0,-9.630202297,-8.6118671317,-7.9214095684,-5.3652351527,-7.9659657128,-5.4733936617,-6.1831297586,10000,-6.072842089,-6.8237857964,-4.6092903037
ZINC15716540,0,-9.6286013813,-8.2403082427,-7.132853016,-7.3576622587,-8.2520238606,-9.243591641,-7.5108981524,-7.0619799118,-7.8023670051,-9.3848978008,-7.1770290651
ZINC01325311,0,-9.6276133747,-8.9178956865,-9.115977742,-8.8765460131,-7.9386075311,-8.0861462633,-8.9778377612,-7.8291425217,-9.1744556604,-9.0890171081,-7.1334808134
ZINC62089286,0,-9.6257968181,-8.4386175008,-9.1226420189,-7.1624908707,-7.9548302977,-7.8538299861,-7.1575483895,-7.7121637515,-8.8452425467,-8.3538350705,-6.8826669041
ZINC38729858,0,-9.6223867142,-9.4533009795,-9.2570699563,-8.5677541077,-7.8455300852,-8.6843441112,10000,-8.4567799326,-8.5838194174,-8.9525303004,-6.6875789926
ZINC63638536,0,-9.6223515146,-9.4613030933,-8.5615816388,-8.8028643318,-9.4615470796,-9.3648943171,-8.2436508862,-7.7954949343,-9.5214263679,-8.9725085331,10000
ZINC45865591,0,-9.6208978429,-8.8821175838,-8.7914003903,-7.496766035,-8.8211135276,-8.2857049142,-6.7376668631,-8.5062194361,-8.5974415754,-8.2587107935,-5.6594765193
ZINC29394485,0,-9.619283123,-7.6853733638,-8.6878829971,-8.6207968512,-8.1735336756,10000,-8.9552210126,-7.2647880327,-7.58971257,-8.7444177037,-6.4603055977
ZINC67048735,0,-9.6189424679,-8.9014832545,-8.4993517104,-8.3437288125,-8.5230032017,-10.0758683806,-8.1593930434,-7.9948331028,-8.7894131931,-8.3379285319,-8.4226088285
ZINC32781481,0,-9.6148614571,-9.1640573943,-9.3926156057,-9.4704186972,-10.0130430414,-9.7571704738,-9.4071678193,-9.0666145732,-8.7376003625,-9.070734778,-7.5180495316
ZINC01508555,0,-9.6078581095,-9.078791149,-9.1061799239,-8.4512679098,-8.6823945586,-8.3853030455,-7.2766715862,-8.0903810864,-9.253370728,-7.3069349514,10000
ZINC43762614,0,-9.6036747579,-9.3377541055,-9.1944827554,-10.4562669136,-8.6525839445,-9.6189510428,-9.5370159462,-8.7208491249,-8.0508864853,-9.8812162466,-8.3121793011
CHEMBL307632,1,-9.5980080514,-9.9371647397,-10.1265427806,-10.910538709,-10.3038141484,-10.6592764769,-10.5772692111,-10.4179458567,-10.2148779566,-10.3893934994,-10.2201575988
ZINC38727922,0,-9.5955664965,-10.564228284,-10.18587156,10000,10000,10000,-7.6776769064,-8.8224908355,-7.9267297422,-9.8047348224,10000
ZINC14551713,0,-9.5914566112,-8.818946191,-8.079943998,-8.7801899746,-9.1231446115,-8.9067410394,-8.6775674384,-9.550015806,-9.7435319109,-8.9717372178,-8.1959111462
ZINC15064663,0,-9.5892739397,-8.6978777404,10000,10000,10000,10000,10000,10000,-8.3896752854,-8.1943807729,10000
ZINC08746019,0,-9.5890519983,-9.7817684992,-8.2028887762,10000,-7.3619328663,10000,10000,10000,-9.5295446998,10000,10000
ZINC19930226,0,-9.5876954674,-8.6131980787,-9.5809852266,-9.3286164882,-10.1269112488,-8.9645592904,-9.4194216051,-7.7106039973,-9.0930940377,-8.0514315065,-8.4543542038
ZINC05003129,0,-9.5868623636,-8.9043933386,-6.7684309967,-8.0671071392,10000,10000,-6.9168807962,10000,-8.8433619581,-7.8967171485,10000
ZINC39479576,0,-9.585897657,-9.0932251608,-8.3578615642,-9.0758430322,-9.6946026228,10000,-8.5924458879,-8.5138479777,-8.4402758524,-9.3032208556,-8.5469871308
ZINC03345518,0,-9.5813789092,-7.702238543,-6.9386128485,10000,-5.052247343,10000,-6.3242266181,-3.7838115032,-7.1495367968,-6.8650758052,10000
ZINC58846509,0,-9.5807511553,-10.3733917511,10000,10000,10000,10000,10000,10000,-7.4528903514,-9.4082485485,10000
ZINC36852229,0,-9.5794550644,-9.0546169799,-8.7233676203,-9.7458608484,-8.919966387,-8.4413432453,-7.8834388351,-9.6788517294,-9.4025783768,-9.4595272632,-8.7037748228
ZINC32102110,0,-9.577617832,-9.4544497455,-9.346272826,-8.9964447906,-8.8342547327,10000,-7.8812521151,-8.8106657475,-7.9358143674,-8.066257628,10000
CHEMBL274826,1,-9.5756801103,-9.3258430413,-9.8458457555,-9.7885573483,-9.6591958251,-10.6966828065,-9.4503940864,-9.6096026407,-9.8873968121,-9.9406373998,-9.9979129211
ZINC10695113,0,-9.5749467093,-8.0349773438,-7.690346807,-7.5957548359,10000,-9.0190943891,10000,-7.9666540923,-8.8410329461,-7.0019725723,10000
ZINC46643011,0,-9.5720985917,-9.2936229662,10000,10000,10000,10000,10000,10000,10000,-5.6628387055,10000
ZINC39537106,0,-9.5658745281,-8.7476311321,-9.8966068692,-8.2514948114,-8.2455033877,-8.5762664373,-8.3091812486,-7.20605149,-9.8115707579,-9.6427966863,-7.6294618674
ZINC39453623,0,-9.5642361458,-9.4970663212,-8.6839013405,-8.9837002918,-8.7351203535,-9.5377111186,-8.0363640896,-8.9605914229,-9.3505151625,-8.5931255604,-8.3581226021
CHEMBL367375,1,-9.5638321737,-9.4252172381,-9.6854672535,-10.0689113927,-10.84309326,-10.0077361892,-9.5366437365,-9.8108492419,-9.8150427091,-9.375084867,-9.6464624968
ZINC38709432,0,-9.5604496042,-8.6396853011,-7.7386328763,-7.4584799598,-8.3487877284,-7.2025589166,-6.8252370588,-7.2421309082,-8.9729706809,-8.0464842573,-7.4557610244
ZINC06670550,0,-9.5594666805,-9.2196358129,-9.2598692058,-7.7741626794,-8.011098922,-6.7239170248,-8.2633927544,-6.7189027784,-9.1694331194,-7.9263322117,-7.1063499452
ZINC38688775,0,-9.5581022878,-8.4179811153,-7.4359352068,-7.6783666548,-8.3648120778,-8.1447769278,-7.6915229082,-8.2947004549,-8.6410698658,-8.7818589627,-7.6281453338
ZINC06861060,0,-9.554148681,-10.0452339112,-8.1712100972,-9.0722380508,-8.7835556956,-8.1218671061,-7.6557421148,-7.5029994223,-9.1577961402,-9.2134466369,-5.479171817
CHEMBL389367,1,-9.5534628219,-9.4301764655,-9.5304255914,-9.696864364,-9.7299502892,-9.9618843563,-9.2066627223,-9.2426440598,-9.7957182611,-9.9490594531,-9.1999720488
ZINC20637363,0,-9.5511725017,-8.3880997247,-9.5207902821,-7.2879429923,-8.5045021617,10000,-8.157825348,10000,-9.0195174721,-9.1280314782,10000
ZINC09435829,0,-9.5510195193,-9.9863730039,-8.9572448844,10000,10000,10000,10000,10000,-8.1284462567,-8.4240374315,10000
ZINC05003128,0,-9.5448945799,-9.7689959616,-4.8444747594,10000,-8.8186338008,10000,-8.7264871231,-5.0875434046,-8.2591658843,-7.7865529627,10000
ZINC21179040,0,-9.5418141153,-7.3372244029,-7.8121923385,-8.0150923025,-8.6874223535,-7.8909916814,10000,-7.6401154507,-7.1583573107,-7.487449016,-6.5946035548
CHEMBL403213,1,-9.5381301729,-9.053823867,-9.7758743736,-8.8361097607,-9.0606586448,-9.3520589669,-9.1837033648,-8.5365449431,-9.6731644644,-9.550910902,-8.7559251328
CHEMBL369509,1,-9.5347606641,-9.702782007,-8.7616014819,-9.6493929055,-9.4907025667,-10.0100648035,-9.2597734657,-10.0590163166,-9.4997476599,-10.222730045,-8.9057458217
ZINC05663100,0,-9.5284307954,-9.5677432631,-9.6676819093,-9.6730477767,-9.6127069271,-9.6074484351,-9.1429055099,-8.3307682234,-9.7613289307,-9.6509433953,-9.1543230042
ZINC51330030,0,-9.5219616003,-8.3898994616,-8.2127353752,10000,-7.4405656593,-8.5413611704,10000,-7.4680170763,-7.4047622417,-7.080725235,10000
CHEMBL369542,1,-9.5217110774,-9.5601206835,-9.1480690353,-10.1355219435,-10.5870079309,-10.2736512919,-9.4047953627,-10.0508049065,-9.9862718828,-10.0833418989,-9.7026479531
ZINC41717606,0,-9.5212473919,-9.1716728712,-9.5202833295,-10.0563380564,-9.2061751218,-9.9093853694,-8.1829097605,-9.454656421,-8.9892647585,-9.7570742157,-9.3061599463
ZINC19892533,0,-9.5203265503,-7.7407951081,-7.5140536839,-8.1773201554,-8.4077692566,-7.7313410633,-8.3453992734,-6.458547917,-8.9981970174,-8.5216075887,-7.3286777231
ZINC39536108,0,-9.5178870887,-10.0244387201,-9.8620927745,-9.5142266262,-8.1271782835,10000,-8.8527661857,-8.2062834073,-9.5843568492,-8.8552149859,-8.4451496858
ZINC41715199,0,-9.5147445556,-9.5642245996,-8.6403716998,-9.2700960802,-8.3467934945,-9.5208670456,-8.9219335199,-9.598301467,-8.5587093276,-9.9180459316,-8.2665891999
ZINC43633004,0,-9.5099790433,-9.7799218375,-9.7933128019,-8.4406197451,-8.9661684009,10000,-7.2883481444,10000,10000,-8.9362926467,10000
ZINC13220996,0,-9.5081400501,-8.5970715192,-9.5046193394,-9.0903233807,-9.8238961285,-9.9772392385,-8.9371794844,-9.7748597057,-9.7085501972,-8.3374904221,-9.3446971004
ZINC61301134,0,-9.5063838652,-8.3728667916,-8.1875102638,-8.1430439725,-8.5798537518,10000,10000,10000,-8.5156947547,-8.7652193513,10000
ZINC32781490,0,-9.5060208022,-9.5061204842,-8.4532449177,-7.9689669569,-8.4321514549,10000,-8.6188513298,10000,-9.1402515019,-9.4695657345,10000
ZINC39458382,0,-9.5048365588,-9.3644062477,-8.0359398708,10000,10000,10000,-6.5945335287,-7.5236701469,-9.0165442227,-8.1978062659,10000
CHEMBL207106,1,-9.5048139868,-9.4860474224,-9.6083534986,-10.748354905,-9.8049699002,-10.2689224316,-9.1740403463,-10.0955927075,-9.9192696705,-9.8802424032,-9.6086785986
