id,status,receptor_10,receptor_9,receptor_8,receptor_11,receptor_3,receptor_2,receptor_1,receptor_7,receptor_6,receptor_5,receptor_4
CHEMBL247637,1,-8.8478603093,-9.2496668608,-8.2864085075,10000,-8.1792751439,-9.4104072422,-9.8578535685,-9.0290574756,-7.1744118568,-9.2070112713,-9.6021172987
CHEMBL1215549,1,-9.2370584228,-9.2120553346,-8.4231893626,-5.708713591,-7.840792668,-9.1046119659,-8.8956003844,-8.0195459216,-7.7031555073,10000,-7.9242618057
CHEMBL471876,1,-9.793498026,-9.5865379232,-9.9323246131,-8.483084205,-8.6342994811,-9.5381338804,-9.6464742971,-8.2032162966,-8.7121252232,-8.1810674142,-8.870943866
CHEMBL51639,1,-7.7490306678,-8.0986511893,-8.1330836299,-7.6783812297,-8.2859318392,-7.7988847158,-7.2007807638,-7.6550292505,-7.8119862768,-8.1677691216,-7.7941603503
CHEMBL250897,1,-9.2678434294,-9.043463711,-8.1052737282,-7.7442941449,-9.1238894767,-9.3193091032,-9.4672877762,-9.066105895,-7.7440971975,-9.536433982,-8.9975182008
CHEMBL217324,1,-9.1327846723,-8.5369901673,-8.4151163368,-7.8315160408,-7.9312979831,-9.8896754789,-8.802886495,-8.4384701626,-8.249022845,-8.4480381068,-8.9703395367
CHEMBL207706,1,-9.4334336693,-10.0330874069,-10.36710105,-9.9992452977,-11.0338424072,-9.9024056589,-9.8050634765,-10.3913436477,-9.7192456549,-10.3783377096,-10.0434022343
CHEMBL181674,1,-8.6009275496,-8.5023572675,-9.6777375423,-8.8329851163,-8.7896270534,-8.5592472343,-8.5509916693,-9.0730726707,-8.4459680511,-9.421364856,-9.4419115884
CHEMBL76533,1,-9.742867026,-9.8788570194,-9.42319626,-8.5864552636,-8.5522977542,-8.7844731582,-7.6790157082,-10.1065393011,-9.9064630604,-9.6563862828,-9.5719922005
CHEMBL395483,1,-9.9073956837,-10.4165685278,-10.4892143313,-10.0234002465,-10.9470114109,-10.5620051723,-10.2035749982,-10.8601554847,-10.0725532435,-11.2306557699,-10.4755592559
CHEMBL450334,1,-9.6263398817,-9.1254958854,-8.7366851526,-7.5269672585,-9.0504758131,-10.1881653691,-9.1285783268,-8.3610180898,-8.621104411,-9.4129239237,-9.1916340698
CHEMBL166444,1,-10.4304599287,-10.289587121,-10.925025522,-10.7183167513,-11.3679167957,-10.9630601048,-10.779262392,-11.2958714184,-11.1283215065,-11.4248012459,-11.2658304076
CHEMBL426623,1,10000,-7.267822444,-9.9224791928,10000,10000,-7.4647423879,10000,10000,10000,10000,10000
CHEMBL390728,1,-9.0129077534,-8.3147270802,-8.0069748938,-8.5049460528,-8.8846031436,-9.7430182768,-8.6813978152,-8.8762208981,-9.1034526442,-9.7597886805,-10.2921663422
CHEMBL135,1,-10.671864374,-11.3347475016,-10.9736429368,-10.9058322853,-11.9304035725,-10.8666052452,-11.3425784628,-11.8296858003,-11.3460733058,-11.9958557298,-11.4790221201
CHEMBL350932,1,-8.5610292897,-8.4498986555,-8.6456366503,-10.1090602968,-8.7176515818,-9.2261530449,-8.5005197001,-8.3789220937,-8.5380951436,-10.6575019183,-10.3116992744
CHEMBL257151,1,-9.1230707316,-9.2619877266,-8.6525404514,-10.3327084392,-10.0243836814,-9.7728002718,-9.0307251565,-9.4455901194,-8.8723547457,-9.6848334415,-10.03949476
CHEMBL35525,1,-7.8886326634,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
CHEMBL134260,1,-8.8564573292,-8.7408733636,-8.6962690918,-7.3918174832,-8.4817394049,-8.0266664573,-8.2385099401,-8.8583447134,-8.959328842,-9.2532697276,-8.7405082512
CHEMBL295204,1,10000,10000,-9.4284563611,10000,10000,10000,10000,10000,10000,10000,10000
CHEMBL1164752,1,-8.3433113527,-7.9722079757,-8.699324348,-7.0771806204,-7.4407601817,-8.2318252614,-8.178726782,-7.0806672117,-7.5299481413,-7.4419516841,-7.3328217268
CHEMBL1163630,1,-8.9312377363,-8.2643579816,-8.804328534,-7.0070183809,-7.1896350371,-8.3791023664,-8.7573310787,-7.7494822148,-7.5366549425,-8.7923575701,-8.1256324954
CHEMBL82307,1,-9.1840219238,-9.4278200067,-8.197839361,-8.70636718,-9.4103943314,-9.5850090293,-9.2488659259,-8.3651097902,-9.0324758093,-9.9059069136,-8.6549322168
CHEMBL519450,1,10000,10000,10000,10000,10000,-8.2198472813,10000,10000,10000,10000,10000
CHEMBL445661,1,-10.2540866764,-10.3009225143,-8.5642330124,-10.4975769381,-11.1192504423,-10.0584164231,-10.073353762,-9.4354646058,-9.9470118198,-11.1281015201,-9.6443879898
CHEMBL302870,1,-10.8992007398,-11.5780649411,-11.7617255618,-11.5845970611,-12.0711626851,-11.8940579528,-11.3069611764,-12.0735092293,-12.2740691442,-11.9418701613,-12.3035238367
CHEMBL50023,1,-8.5045960192,-8.3049912112,-8.3020270318,-8.0807420661,-8.6295251553,-8.1238649721,-7.7818308724,-8.3114250545,-8.3698474084,-8.5243446278,-8.514629941
CHEMBL467790,1,-8.1152766319,-8.5595270597,-8.908047889,-8.2974686307,-8.7629009596,-8.4165992109,-8.5236309763,-8.6811057056,-7.8077484684,-8.9731536969,-9.1046157897
CHEMBL184313,1,-10.2513010637,-10.1918021909,-10.371037855,-9.1225987089,-10.1818686237,-8.9172817682,-10.2462288465,-9.7977250202,-10.3266056454,-9.6882374147,-9.6595821493
CHEMBL398189,1,-8.3987577319,-9.2055780353,-9.1487763628,-8.7258780833,-9.2911236176,-9.2400562133,-8.4488497411,-8.7361727009,-7.9252755314,-9.3737192188,-9.0449230672
CHEMBL132889,1,-8.8279535569,-9.3795239022,-9.2732229564,-8.1570294638,-8.4145145021,-8.9153720108,-8.5621203986,-8.5831871029,-8.8279128689,-10.1704853277,-9.5316135712
CHEMBL227749,1,-8.4070062912,-8.5199699414,-8.0142070849,-7.9229908792,-8.9352779118,-8.5161285464,-8.8254286009,-8.5229258138,-7.2460574044,-9.2505870838,-8.9480181197
CHEMBL467888,1,-10.8115197677,-10.9384914648,-8.8266258488,-8.7916506893,-8.5731008058,-9.881102655,-9.646431508,-7.9819960162,-9.2924685071,-9.0933262766,-10.4426411676
CHEMBL361222,1,-8.1759088355,-9.3531899499,-9.4446837153,-8.5703228317,-8.8604935799,-8.5272478176,-8.3805358812,-9.1014270474,-8.0108904195,-9.3303286804,-9.5586741755
CHEMBL403213,1,-9.053823867,-9.550910902,-9.6731644644,-8.7559251328,-8.8361097607,-9.7758743736,-9.5381301729,-8.5365449431,-9.1837033648,-9.3520589669,-9.0606586448
CHEMBL336169,1,-8.9393128048,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
CHEMBL519112,1,-8.3415909542,-8.3378276444,-8.9763775519,10000,-7.3776954648,-9.058690628,-9.1068019114,-5.982797403,-7.791617143,-7.0846524781,-7.3213010865
CHEMBL234185,1,-9.2743718932,-8.2155272233,-8.9118011044,-8.7292302632,-8.5945037133,-8.5402331106,-7.6417827543,-8.8167038552,-8.5538324196,-7.9996155136,-9.1070354051
CHEMBL50241,1,10000,10000,-7.9582079344,10000,10000,10000,10000,10000,10000,10000,10000
CHEMBL269372,1,-9.3604886722,-7.2788185696,10000,10000,10000,-7.8008432317,-8.1696104169,10000,10000,10000,10000
CHEMBL403668,1,-8.7063870006,-9.2941672522,-9.4324965079,-8.4115227327,-8.7505673956,-9.6621974602,-9.3470501428,-8.6112123237,-8.6939252072,-9.0735643296,-8.7987542226
CHEMBL570897,1,-8.0627991504,-8.0660767703,-7.6540790954,-8.1473887342,-8.4323585509,-7.688366572,-8.3805757698,-8.1933633784,-8.0652122956,-8.4781471098,-8.180706098
CHEMBL394792,1,-8.6734733788,-8.4192606075,-8.566271538,-7.9282630596,-9.199115237,-9.9679280414,-8.9782212231,-7.9725002651,-9.0351492592,-8.5348336557,-8.4595996984
CHEMBL397343,1,-10.2668637994,-11.326880581,-10.320628811,-10.6899403479,-11.3191676214,-9.7486542053,-9.9160940855,-10.7439115491,-8.4196743558,-11.1369174668,-10.4252386525
CHEMBL1393,1,-9.7938971103,-8.0346211914,-9.7344941886,10000,10000,-9.232376805,-8.4738161649,10000,-9.2783781127,-9.0884994901,10000
CHEMBL45083,1,10000,10000,-9.7483360442,10000,10000,10000,10000,10000,10000,10000,-8.109088158
CHEMBL62700,1,-7.2622566968,-8.6802226172,-8.1308939897,10000,10000,-8.2217350413,-7.2503641823,10000,10000,10000,-7.9525776356
CHEMBL268568,1,-8.5217003273,-8.88156211,-8.407459462,-8.0898460963,-8.9447675325,-9.502632336,-8.9285117879,-9.0386393115,-9.1217078332,-9.7536322056,-10.0355245271
CHEMBL163425,1,-8.9736364421,-8.667655708,-8.9945572355,-7.5729236356,-8.859295263,-8.7984130067,-9.2012763904,-7.6853878646,-8.816143645,-9.15853451,-9.0391911214
CHEMBL518945,1,-7.343935036,-6.6849797717,-7.8989449953,10000,10000,10000,-6.2259809639,10000,-7.6268116672,10000,10000
CHEMBL453624,1,-7.6332778505,-8.4437088448,-8.3355500582,-7.8941411788,-8.4575074317,-8.2310496315,-8.3352069769,-8.3305058094,-8.0576295788,-8.6206745441,-8.5701357707
CHEMBL469759,1,-8.7748375105,-7.4450028099,-9.2197958204,10000,10000,-9.640793471,-7.1015361386,-4.996546522,10000,10000,10000
CHEMBL393278,1,-11.1948626305,-11.7467709147,-10.712495507,-10.9916638375,-11.876967598,-11.115089044,-10.6055488907,-10.9291399799,-9.5954151684,-11.4994310955,-10.5784129986
CHEMBL246341,1,-11.496506299,-12.2275974688,-10.0879708177,-10.9147213005,-12.1664233949,-11.0228343112,-10.6814119885,-11.3101245707,-9.1346778724,-11.8398171953,-10.869581759
CHEMBL501080,1,-9.2047917676,-8.9005790811,-9.1110601528,10000,-8.1009982994,-9.4278627552,-9.084391364,-8.6548127482,-8.4326885829,-7.0747342805,-9.3102416888
CHEMBL359911,1,-8.5440887573,-8.7448608897,-9.3550075286,-8.7535911335,-8.7644941591,-8.5725174262,-8.5856752743,-8.966199837,-8.7080970142,-9.39160515,-9.5958602381
CHEMBL75474,1,-5.3703513536,-7.1568925464,10000,10000,10000,10000,10000,10000,10000,10000,-8.495987938
CHEMBL237898,1,-9.8486013212,-9.7778318314,-10.0238030156,-10.3637664312,-9.5280662215,-10.1287401107,-10.3674196955,-8.9235652886,-9.9130331834,-10.263952983,-10.1906207917
CHEMBL188129,1,-7.3934255007,-8.3099114657,-8.8094917048,10000,10000,-8.3740713956,-9.7665375968,10000,10000,10000,10000
CHEMBL436784,1,-8.5388339361,-8.2167632092,-8.1611967979,-8.3510363788,-8.5091142821,-8.8422081343,-8.5955206277,-8.6922796707,-8.8557575829,-8.7379938233,-8.6593189114
CHEMBL293409,1,-8.9328301864,-9.2710058006,-9.135323133,-7.4347948252,-8.6436994489,-9.0933544195,-7.9004041781,-9.5935964932,-8.9193117291,-8.9220189161,-9.1699284357
CHEMBL345854,1,-8.290138039,-8.6193443584,-7.672217178,-8.1918826519,-6.805140671,-9.0801628339,-8.1096058642,-6.9772953376,-7.6626503068,-8.6308140664,-8.5214957447
CHEMBL181571,1,-9.5098904971,-9.9644261076,-9.4992598837,-9.6187043393,-10.0099954284,-9.3242608256,-8.7222283013,-9.8759681222,-9.3047939282,-9.8093455551,-10.2397871489
CHEMBL221174,1,-9.2593457337,-8.7405993346,-8.8600734583,10000,10000,-9.7123461243,-8.8224572508,10000,-7.7855352561,10000,10000
CHEMBL369509,1,-9.702782007,-10.222730045,-9.4997476599,-8.9057458217,-9.6493929055,-8.7616014819,-9.5347606641,-10.0590163166,-9.2597734657,-10.0100648035,-9.4907025667
CHEMBL296323,1,-7.9457637652,-7.8211734724,-7.8121045837,-7.8324353454,-7.8681812037,-7.7191697139,-8.1162666514,-8.4847347322,-8.0371986405,-8.3551303906,-8.344354748
CHEMBL274826,1,-9.3258430413,-9.9406373998,-9.8873968121,-9.9979129211,-9.7885573483,-9.8458457555,-9.5756801103,-9.6096026407,-9.4503940864,-10.6966828065,-9.6591958251
CHEMBL249071,1,-7.3617482953,-7.9253053268,-7.2707477267,-7.4727067931,-8.4564909387,-7.8436821222,-7.8435481798,-7.8412480186,-7.7924739261,-8.134597237,-8.1366167158
CHEMBL237683,1,-10.0008951249,-9.32702886,-10.3332038528,-10.3108994912,-10.6495768903,-10.0145338643,-10.3615120874,-8.6118641842,-9.4637008656,-10.1610477118,-10.4532431655
CHEMBL557116,1,-9.1395122925,-9.69502593,-8.9633363792,10000,-9.1757323316,-7.4528134832,-8.2849040956,10000,-8.8535666287,10000,-8.0690511645
CHEMBL397729,1,-8.6302223993,-9.153713241,-8.976708005,-8.363561267,-9.254237623,-8.8212015996,-8.6790540189,-9.008851273,-8.7577856988,-9.2759303608,-8.6368302115
CHEMBL1163602,1,-8.2071704043,-9.4774055401,-8.879236831,-6.3144091411,-8.0029453233,-8.3771820015,-8.0328887043,-8.3984457941,-7.3245067945,-9.2379879154,-8.0053908812
CHEMBL229264,1,-8.8815273533,-8.9988948934,-9.4046250415,-8.8446555449,-9.7339337467,-9.099569046,-8.7429446599,-9.6977909359,-8.6024996727,-9.5025381668,-9.4188344148
CHEMBL471644,1,-8.7025692525,-8.6699478755,-8.6580859328,-8.2833975325,-9.1129866404,-8.8684449365,-8.5267037817,-8.7636797463,-8.2980733771,-8.8653330368,-9.2737989093
CHEMBL390577,1,-9.9252914775,-9.1330338984,-9.2879941122,-7.590117077,-8.3080888042,-8.61018751,-9.4326978511,-7.7355002103,-7.9423168023,-7.9786677173,-9.2759322685
CHEMBL162569,1,-9.1595130872,-9.0876446393,-7.69536539,-8.106984274,-8.9115632708,-9.077271164,-8.4734210477,-9.1369423035,-8.2977189991,-10.0418765996,-9.6071929702
CHEMBL229160,1,-9.315085097,-9.1624382556,-9.6790246025,-9.3550226232,-10.085360621,-9.6987177071,-9.3468620523,-10.092739155,-8.8374196837,-10.1521319403,-9.7700357961
CHEMBL391439,1,-10.065020257,-7.7611503757,-9.1351586586,-6.627776642,-7.7952011421,-9.3156152712,-9.244640879,-7.8871944914,-8.1780585573,-9.2809966996,-8.1255891395
CHEMBL183173,1,-8.9590228183,-9.784789287,-9.9193190685,-9.6001517432,-9.5670789161,-9.4711273193,-9.0717012313,-9.5621346948,-9.4900048183,-9.7157027277,-10.2094225343
CHEMBL243136,1,-9.03265164,-9.0142810331,-9.0406815571,-9.3954042857,-8.6528976589,-9.5989133579,-8.7858057512,-8.7423737963,-8.1722915217,-9.2364597065,-8.7822416035
CHEMBL1094797,1,-8.861086568,-8.481555842,-6.4055866043,10000,-7.6274315987,-9.2245084125,-8.8882842147,10000,-7.7509569301,10000,-8.7389941906
CHEMBL389367,1,-9.4301764655,-9.9490594531,-9.7957182611,-9.1999720488,-9.696864364,-9.5304255914,-9.5534628219,-9.2426440598,-9.2066627223,-9.9618843563,-9.7299502892
CHEMBL1163620,1,10000,10000,-8.2514718843,10000,10000,10000,10000,10000,10000,10000,10000
CHEMBL74671,1,-8.7951681903,-8.8427538642,-9.1025258091,-8.8305717585,-8.1893255475,-8.1947719905,-8.2382683342,-9.0289005322,-9.6007881819,-9.2573181446,-9.6148557152
CHEMBL180681,1,-7.7810834821,-8.0175947786,-8.868747599,-8.3908757162,-8.5979300451,-8.2947717351,-7.8585213243,-8.7757593014,-7.8931627991,-9.2687212896,-8.6168461971
CHEMBL522432,1,-10.5394309802,-9.4811216325,-9.4125307746,-7.3513404674,-7.499975031,-9.637343204,-9.393086704,-7.9922186741,-8.4763826275,-9.4035948833,-9.5647768823
CHEMBL520428,1,-5.8920450216,10000,-7.4353154883,10000,10000,10000,10000,10000,10000,10000,10000
CHEMBL77062,1,-9.4956461853,-10.0905385604,-8.7820444088,10000,10000,-7.2356267026,-8.6229375711,-10.1229101309,-8.2344423196,-10.0291667791,-8.9375459471
CHEMBL247453,1,-9.420789722,-8.9230402873,-9.4807278066,10000,-8.644884862,-8.3396858227,-9.2954255845,-9.3894365565,-8.1624956496,-8.6613214595,-8.5692261343
CHEMBL271262,1,-8.8494574863,-9.2967631094,-9.1031814916,-8.4510203494,-9.3650958567,-9.1754547932,-9.2998898091,-9.1403982974,-8.9320015873,-9.5642167655,-9.2302022435
CHEMBL248841,1,-9.4059862129,-9.6780523149,-9.4030578287,-9.208311237,-10.0801703317,-9.4559630953,-9.2431954358,-9.2045354216,-9.4481350133,-9.6373310598,-10.1282548815
CHEMBL64294,1,-8.133720724,-8.305339245,-8.4346113163,10000,-8.635894863,-8.1435734106,-7.485215462,-7.9141171583,-8.3306426868,-8.9699026279,-9.2001842773
CHEMBL369542,1,-9.5601206835,-10.0833418989,-9.9862718828,-9.7026479531,-10.1355219435,-9.1480690353,-9.5217110774,-10.0508049065,-9.4047953627,-10.2736512919,-10.5870079309
CHEMBL10560,1,-8.0036377396,-8.0589808682,-7.8934802636,-6.8863041444,-7.6644611887,-8.3432849942,-8.1703861595,-8.1220322749,-9.480080725,-7.7737852927,-8.4626651727
CHEMBL157703,1,-8.4705874523,-8.6301704504,-8.3036348849,-7.0699733022,-8.612669738,-9.5080720378,-7.8646388185,-8.1781943304,-8.2909359035,-8.9519777218,-8.8633569105
CHEMBL243995,1,-8.4200960999,-8.9633651303,-8.6931010889,-8.2005131141,-8.8592170702,-8.2461264917,-8.9235077142,-8.9542040371,-8.0134358646,-9.3743148914,-9.0666573653
ZINC00111345,0,-7.2792101273,-8.1251150132,-7.1249873629,-6.4928555612,-7.6742366936,-7.8858774791,-7.355157851,-8.2769715509,-7.4486451057,-8.3863046634,-7.4393622479
ZINC02578500,0,-6.7638116866,-7.4489662875,-7.1372144949,-7.2020975567,-7.2296101067,-7.2872130677,-7.094056571,-6.9451180974,-6.9312071431,-7.62163927,-6.9640710018
ZINC37422837,0,-8.7651210937,-8.2023503886,-8.3072714625,-7.4157394862,-8.2890568681,-8.4127252861,-7.4212301723,-7.6809199138,-7.7899392122,-8.4760874238,-8.512813575
ZINC08393777,0,-7.3172718955,-7.1577828094,10000,10000,10000,10000,-7.1741134632,10000,10000,-7.2700154473,-6.7048096994
ZINC51172912,0,-6.9885651257,-8.1625958461,-7.3273044505,-6.9520707536,-7.4392354679,-7.5466092657,-7.5884223851,-7.5050184297,-7.4778523087,-7.8891921194,-7.6390660296
ZINC49305893,0,-7.2300110085,-7.9855103155,-7.69447272,-7.4308862001,-7.8644210795,-8.1266842652,-8.2038790045,-8.194997408,-6.5795867759,-8.6709351657,-8.0716580363
ZINC40264812,0,-8.6582641731,-7.9927468887,-8.3893911027,-8.0372525325,-8.3048168751,-8.7519273583,-7.9361175569,-8.4359213844,-7.8855902283,-9.0309190408,-8.2575205835
ZINC47682094,0,-6.3905143441,-6.7016597843,-6.818054845,-6.9793295282,-7.4867324704,-7.3127672677,-7.1913850513,-7.7044146346,-6.2279289421,-8.231379086,-7.918106105
ZINC24354139,0,-9.1802362385,-8.3328152987,10000,10000,10000,-8.2230857736,10000,10000,-7.8883511498,10000,-9.4668780186
ZINC05774551,0,-6.8372663036,-6.7945826801,-7.1052264985,-7.1290152462,-6.9871647606,-7.0766809297,-6.587089028,-7.0085724175,-6.598876286,-7.2808329671,-7.3919817648
ZINC19201929,0,-8.1182986067,-8.5446356617,-8.2656503953,-8.4241560599,-7.9576886265,-8.5601250105,-8.1599525337,-8.8115273816,-8.3311766791,-9.2748271205,-8.2838058394
ZINC30030071,0,-8.1798526374,-8.1318932558,-7.2834603774,-7.2624960758,-6.910094929,-7.4561734231,-7.7771293057,-5.954078371,-8.2646582042,-8.1588556392,-8.8958098698
ZINC37392970,0,-6.7010456183,-6.8981694004,-7.5788495857,-6.5054039224,-6.5301432543,-7.3470317546,-7.4404275607,-6.8841827371,-6.539475542,-7.0350652708,-7.1074474776
ZINC32914280,0,-7.8766153231,-8.1564307787,-6.9739023846,-7.4500477077,-7.9526819082,-7.3588795364,-7.7293071769,-7.6805332093,-7.8080939957,-7.5162802126,-7.6215587173
ZINC00779487,0,-8.7514356826,-9.2643608902,-7.6314612708,-8.0582517493,-8.8164849703,-8.8305363599,-8.6213759394,-7.6545556569,-8.1582651573,-9.1629249649,-8.702831669
ZINC04221312,0,-8.6786086223,-9.348479842,-7.9673663145,-7.9141367978,-8.4759913255,-8.7263569064,-9.0485852034,-8.3182941837,-8.4184338965,-8.773641519,-9.3790360836
ZINC15828633,0,-8.6381966226,-8.3587001022,-7.9587914607,-6.7355406721,-7.0823843481,-9.2209027293,-7.9619869572,-6.1916259293,-7.8333650119,-6.9563510332,-6.8924927792
ZINC14456895,0,-10.0354684194,-9.0018343247,-8.1067550126,10000,10000,-9.1188576727,10000,10000,10000,10000,10000
ZINC59449188,0,-7.7375827319,10000,-8.9213303048,10000,10000,10000,10000,10000,10000,10000,10000
ZINC07830767,0,-8.4538416066,-8.1850432918,-7.9451525444,-7.4012453905,-7.8784134011,-7.8598148981,-9.2312242421,-7.6929990935,-7.5015787201,-8.6456443319,-9.2319622209
ZINC12907087,0,-7.3144101935,10000,-7.7866204102,10000,10000,-7.2442604678,-6.9550904826,10000,10000,10000,-8.0839330208
ZINC38032773,0,-8.4770815302,-8.2442605197,-8.5668104125,-9.1964267282,-7.843747823,-8.0366279221,-7.7877005292,-7.8697063733,-7.6944047865,-9.7681382882,-9.0116634694
ZINC48115236,0,-7.0849970004,-7.6740597918,-8.1393847185,-7.4701993689,-7.9029995613,-8.7111062797,-7.1737618903,-8.4238449328,-7.6152452357,-8.5404146953,-7.9871549505
ZINC15671774,0,-6.8951965221,-7.5961801953,-8.3742327261,10000,-6.2090519723,-6.7907654541,-8.1960121828,-6.5525494314,-7.6068628818,-8.5273340776,-6.327311517
ZINC63494194,0,-8.935967196,-8.2718907573,-9.508175283,-8.095336355,-8.2326894794,-9.0721408265,-8.6460691006,-7.4993123761,-8.4879215966,10000,-9.664705157
ZINC02479585,0,-8.4199425732,-8.3474177255,-7.5955957604,-4.9751498062,-7.2491937643,-8.9079612557,-8.0199772011,-8.0216378643,-5.5932326816,-7.0779040207,-7.0760503147
ZINC54526470,0,-7.437133516,-8.2965564875,-7.5794352706,-7.6722755896,-8.207538699,-7.3362968898,-7.8883263053,-8.1037989472,-7.2979621207,-8.1339366236,-8.0016234812
ZINC39528036,0,-6.7272558735,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
ZINC46629251,0,-8.9975050376,-9.2973974881,-9.0474368535,-7.5552590134,-8.3840473162,-7.9581830788,-8.6234976689,-7.3867676247,-8.2853641424,-8.1970123954,-8.5125015959
ZINC44551152,0,-7.0847605708,-8.3787844224,-6.0056818716,-6.4495302362,-7.678595241,-7.2491917287,-7.806169837,-8.1728939545,-5.8857343574,-9.5428950852,-8.2387718763
ZINC40245458,0,-8.0439799211,-8.054029365,-7.744835177,-7.641322553,-7.9035182557,-7.8224926518,-8.0508895635,-7.9509057789,-8.2910187241,-8.1146080515,-8.317012463
ZINC62720692,0,-8.2343087176,-8.6427418513,-8.1381463528,-8.2056179071,-8.9591207381,-8.2555723253,-8.1436808985,-8.9573737438,-8.0354378289,-8.8328923855,-8.3542086262
ZINC55402872,0,-6.507372766,10000,-6.945643582,10000,10000,10000,10000,10000,10000,10000,-5.577412346
ZINC20706786,0,-8.7536013565,-7.9170652255,-8.9521870003,-7.0780911129,-7.2649030119,-8.9545543859,-8.2241393802,-8.0294602073,-8.6988194456,-8.6486250425,-7.9353675274
ZINC24619040,0,-9.0053071878,10000,-6.289649003,10000,10000,-6.0116094192,-6.7061153568,10000,-4.6209398481,10000,-7.5548716705
ZINC39511442,0,-6.5331227648,-6.9422704783,-6.6059674039,-6.1038132782,-7.1765023119,-6.7247935093,-6.0785666909,-6.5480518653,-6.684660709,-6.6825742952,-6.8388932484
ZINC14721438,0,-8.1244177173,-8.426763526,-8.0604340973,10000,10000,10000,-6.3508494875,10000,10000,10000,10000
ZINC06700592,0,-7.181574795,-7.4241794008,-8.2289055983,-7.5194279799,-7.219270934,-7.0178069063,-7.0338965364,-7.820776029,-7.2798203095,-8.3934849755,-7.928557608
ZINC32503807,0,-7.5734404268,-7.0948566247,-7.5016595829,-7.1811378741,-7.8251492417,-7.2565679875,-7.84222835,-7.3314707408,-7.7224842802,-6.6538561314,-6.7591445477
ZINC10156334,0,-6.3493870892,-4.9623064689,10000,10000,10000,10000,10000,10000,10000,10000,-6.6526308997
ZINC02788973,0,-7.6399995395,-9.7367527793,-8.0754044345,-7.4897997867,-9.6572295925,-7.7956149144,-9.3831433055,-9.7176980006,-8.7828586947,-9.2761584115,-8.9591653813
ZINC44451014,0,-8.3648864933,-8.4034481618,-7.2082982904,10000,-7.6691602936,-7.1018118139,-7.8312006074,-7.2608044242,-7.2514969918,-8.0896118997,-8.355684639
